Date,dataset,Open,High,Low,Close,return,garch_omega,garch_alpha,garch_beta,garch_vol,std5,std14,std25,vol_regime,ema_5,ema_20,feat,ema_gamma,ema_beta,direction_signal,predicted_next,close_delta,target,next_actual,error_inr,error_pct
1900-01-01,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***
2003-12-01,train,45.709,45.728001,45.615002,45.709999,,2.8065599500677346e-07,0.06888888888888889,0.92,0.005025837198975878,,,,medium,45.709999,45.709999,0.0,0.2696598224735318,0.36411471787154603,-1,45.59513349333033,-0.08099700000000354,-1,45.629002,-0.033868506669669785,-0.07422583266158174
2003-12-02,train,45.709,45.719002,45.560001,45.629002,-0.001771975536468573,2.8065599500677346e-07,0.06888888888888889,0.92,0.004849636314360872,,,,medium,45.68300000000001,45.702285,-0.019284999999996444,0.2696598224735318,0.36411471787154603,-1,45.51835996745638,-0.07900300000000016,-1,45.549999,-0.0316390325436231,-0.06946000710916174
2003-12-03,train,45.632,45.655998,45.474998,45.549999,-0.0017314207310517027,2.8065599500677346e-07,0.06888888888888889,0.92,0.004704722587188138,,,,medium,45.63866633333334,45.68778157142857,-0.04911523809523288,0.2696598224735318,0.36411471787154603,-1,45.44284894542915,-0.0019989999999978636,-1,45.548,-0.10515105457085383,-0.23085767667263948
2003-12-04,train,45.548,45.612999,45.519001,45.548,-4.3885840699919854e-05,2.8065599500677346e-07,0.06888888888888889,0.92,0.004566271321478659,,,,medium,45.60844422222223,45.67446904081633,-0.06602481859409437,0.2696598224735318,0.36411471787154603,-1,45.44400773692465,-0.09899899999999917,-1,45.449001,-0.004993263075355969,-0.010986518879383001
2003-12-05,train,45.549999,45.566002,45.449001,45.449001,-0.00217350926495119,2.8065599500677346e-07,0.06888888888888889,0.92,0.0044117520047691015,0.09791136247494371,,,medium,45.55529648148149,45.652995894071914,-0.0976994125904227,0.2696598224735318,0.36411471787154603,-1,45.34874613936175,0.021000000000000796,1,45.470001,-0.12125486063825264,-0.2666700197307069
2003-12-08,train,45.474998,45.498001,45.395,45.470001,0.00046205636071072753,2.8065599500677346e-07,0.06888888888888889,0.92,0.004302623410891594,0.0719077165629612,,,medium,45.526864654320995,45.635567808922204,-0.1087031546012085,0.2696598224735318,0.36411471787154603,-1,45.37218085460207,-0.03900100000000606,-1,45.431,-0.05881914539792632,-0.12946918491322296
2003-12-09,train,45.471001,45.48,45.403,45.431,-0.0008577303528101154,2.8065599500677346e-07,0.06888888888888889,0.92,0.004162562463369041,0.05595748118615625,,,medium,45.494909769547334,45.61608516045342,-0.12117539090608886,0.2696598224735318,0.36411471787154603,-1,45.33644531236334,-0.060001999999997224,-1,45.370998,-0.03455268763666197,-0.07615589067858276
2003-12-10,train,45.419998,45.507999,45.354,45.370998,-0.0013207281371749868,2.8065599500677346e-07,0.06888888888888889,0.92,0.0040338703257114675,0.06429454488134236,,,medium,45.453605846364894,45.59274352612452,-0.13913767975962799,0.2696598224735318,0.36411471787154603,-1,45.279487638759946,0.07800300000000249,1,45.449001,-0.16951336124005678,-0.3729748894591913
2003-12-11,train,45.373001,45.484001,45.352001,45.449001,0.0017192260130580728,2.8065599500677346e-07,0.06888888888888889,0.92,0.003920607284043447,0.03782982952246711,,,medium,45.452070897576604,45.579053761731714,-0.12698286415511006,0.2696598224735318,0.36411471787154603,-1,45.35990715781345,-0.027000000000001023,-1,45.422001,-0.0620938421865489,-0.13670433010326624
2003-12-12,train,45.448002,45.48,45.421001,45.422001,-0.0005940724637709671,2.8065599500677346e-07,0.06888888888888889,0.92,0.0038243616545898733,0.0370727015700083,,,medium,45.442047598384406,45.564096355852506,-0.12204875746810018,0.2696598224735318,0.36411471787154603,-1,45.33514592055043,0.04599799999999732,1,45.467999,-0.1328530794495677,-0.2921902928905398
2003-12-15,train,45.450001,45.5,45.421001,45.467999,0.001012681057358078,2.8065599500677346e-07,0.06888888888888889,0.92,0.0037095351603257686,0.03652046825683851,,,medium,45.450698065589606,45.55494422672369,-0.10424616113408547,0.2696598224735318,0.36411471787154603,-1,45.38366642951992,0.0,-1,45.467999,-0.08433257048007903,-0.1854767580162897
2003-12-16,train,45.469002,45.493999,45.375,45.467999,0.0,2.8065599500677346e-07,0.06888888888888889,0.92,0.003607090537677728,0.04073490029199388,,,medium,45.45646504372641,45.54666372894049,-0.09019868521407659,0.2696598224735318,0.36411471787154603,-1,45.38599540551998,-0.07899899999999604,-1,45.389,-0.0030045944800249913,-0.006619653396252376
2003-12-17,train,45.474998,45.490002,45.362999,45.389,-0.0017374637489544487,2.8065599500677346e-07,0.06888888888888889,0.92,0.0035001242792579005,0.03380336523186161,,,medium,45.43397669581761,45.53164813570806,-0.09767143989044769,0.2696598224735318,0.36411471787154603,-1,45.30956642954438,0.03799799999999465,1,45.426998,-0.11743157045561503,-0.2585061210860005
2003-12-18,train,45.386002,45.445999,45.375,45.426998,0.0008371631893189235,2.8065599500677346e-07,0.06888888888888889,0.92,0.0034292006046384334,0.03364027647476566,0.09421973651400649,,medium,45.43165046387841,45.52168145611682,-0.09003099223841105,0.2696598224735318,0.36411471787154603,-1,45.34910885549574,-0.004996999999995921,-1,45.422001,-0.07289214450425874,-0.1604776163521698
2003-12-19,train,45.432999,45.463001,45.398998,45.422001,-0.00011000066524302632,2.8065599500677346e-07,0.06888888888888889,0.92,0.003338802132462777,0.03364027647476566,0.06931263241665803,,medium,45.42843397591895,45.512188079343794,-0.08375410342484457,0.2696598224735318,0.36411471787154603,-1,45.346173463100236,0.029998999999996556,1,45.452,-0.1058265368997624,-0.2328314197389827
2003-12-22,train,45.417,45.505001,45.390999,45.452,0.0006604508682916954,2.8065599500677346e-07,0.06888888888888889,0.92,0.003246117876172003,0.0302866571496209,0.05042876077493812,,medium,45.436289317279304,45.506455881311055,-0.07016656403175148,0.2696598224735318,0.36411471787154603,-1,45.378228725146116,-0.06299999999999528,-1,45.389,-0.010771274853887292,-0.0237310248163372
